ID,FAULT_TYPE,POLYGON_AREA [ha],CENTER_POLYGON_X,CENTER_POLYGON_Y
305,Rock Slide,0.48393,-73.16384021478373,-45.41153112409668
306,Rock Slide,0.70178,-73.16290574588876,-45.410712438862255
307,Rock Slide,0.36703,-73.16290587129627,-45.412617490343024
308,Rock Slide,0.43968,-73.16056202658532,-45.41340969285009
309,Rock Slide,0.30077,-73.15918392965901,-45.41416675429356
310,Rock Slide,0.09562,-73.16054911741227,-45.417701775765785
311,Rock Slide,0.12897,-73.1597868127556,-45.417061391563756
312,Rock Slide,0.13788,-73.1591817949708,-45.416402705066346
313,Rock Slide,0.32374,-73.19691150045185,-45.398706504163975
314,Rock Slide,0.65109,-73.19105097531869,-45.39829132972963
315,Rock Slide,0.45161,-73.18521711669251,-45.23642474654715
316,Rock Slide,0.21765,-73.18596874656166,-45.236481098952034
317,Rock Slide,0.285,-73.17983163164692,-45.24258997248639
318,Rock Slide,0.8256,-73.15433680725539,-45.23733523237147
319,Rock Slide,0.39488,-73.15733725205216,-45.257018290695335
320,Rock Slide,0.6275,-73.0930557132098,-45.298583923691346
321,Rock Slide,2.28384,-73.04864569758234,-45.312503794140966
322,Rock Slide,0.50377,-73.04718206372611,-45.31098898541952
323,Rock Slide,1.57381,-73.02601102389977,-45.348725029604594
324,Rock Slide,0.27014,-73.02217996617412,-45.35048566708319
325,Rock Slide,2.9465,-73.01829035543443,-45.34019137662349
326,Rock Slide,3.98444,-73.01186561950396,-45.339832623330786
327,Rock Slide,5.37213,-73.00994782255128,-45.33973748111397
328,Rock Slide,10.52831,-73.00742835256597,-45.33989014253574
329,Rock Slide,3.94196,-73.00126850943941,-45.33907353418346
330,Rock Slide,7.83217,-73.00241583498655,-45.34023544862289
331,Rock Slide,14.83451,-73.00467146768011,-45.340329004105705
332,Rock Slide,5.52125,-72.99430853996768,-45.37121237462515
333,Rock Slide,3.46678,-72.99265097809659,-45.37099149138621
334,Rock Slide,0.1321,-73.03555160749849,-45.25399603516411
335,Rock Slide,0.25883,-73.07521834195838,-45.26983435311156
336,Rock Slide,1.09967,-73.02959843745955,-45.266900367922986
337,Rock Slide,0.1464,-73.03890949563514,-45.294938922987285
338,Rock Slide,0.13459,-73.03910503454594,-45.29818679827018
339,Rock Slide,0.40522,-72.99544698170929,-45.32784724262669
340,Rock Slide,1.61498,-72.97260766247248,-45.31486419865859
341,Rock Slide,2.41861,-72.99071355484044,-45.33856559434544
342,Rock Slide,2.43982,-72.98459333621278,-45.336736461067794
343,Rock Slide,15.9474,-72.9743250765728,-45.335945279796306
344,Rock Slide,0.16513,-72.95813925687168,-45.335180745993846
345,Rock Slide,0.07658,-72.95880463253532,-45.33513348001181
346,Rock Slide,0.6451,-72.95425005310264,-45.33524402352485
347,Rock Slide,2.77641,-72.95350417683585,-45.33450858649168
348,Rock Slide,2.17652,-72.95363272780355,-45.33750443011109
349,Rock Slide,2.1318,-72.94574075745993,-45.33513455324765
350,Rock Slide,1.82744,-72.94214000181128,-45.332000687643585
351,Rock Slide,0.31134,-72.93949152000197,-45.33283207735657
352,Rock Slide,1.802,-72.94059303958332,-45.32886863136864
353,Rock Slide,0.08839,-72.93863145904459,-45.3279049265499
354,Rock Slide,0.39579,-72.93711658170356,-45.32735879276616
355,Rock Slide,3.87462,-72.94121391596494,-45.320355073731044
356,Rock Slide,1.29988,-72.96394537116052,-45.315909493811475
357,Rock Slide,2.23169,-72.97998457188483,-45.35295023448314
358,Rock Slide,0.13213,-72.97927533918234,-45.35103863478901
359,Rock Slide,2.96375,-72.97681542113384,-45.35281868735327
360,Rock Slide,24.64074,-72.98150833885342,-45.34867077421793
361,Rock Slide,4.00754,-72.93567903997392,-45.33217846341083
362,Rock Slide,0.78946,-72.93180207988435,-45.33623152003661
363,Rock Slide,0.3654,-72.93086739657628,-45.33750691289205
364,Rock Slide,1.63307,-72.92963294413008,-45.340113048497656
365,Rock Slide,0.75728,-72.93051093776076,-45.340870220136196
366,Rock Slide,1.96544,-72.93026203059195,-45.34243141615242
367,Rock Slide,3.69813,-72.92707180746497,-45.34447069047132
368,Rock Slide,3.16313,-72.92412961385617,-45.34485232992793
369,Rock Slide,6.20997,-72.99478854587055,-45.393548917845216
370,Rock Slide,6.03087,-72.98513932221658,-45.39066315620928
371,Rock Slide,5.00131,-72.99246857338385,-45.391635126984056
372,Rock Slide,7.85936,-72.99290143228166,-45.3964907173719
373,Rock Slide,4.68173,-72.98909409841065,-45.39169814343395
374,Rock Slide,0.35197,-72.97862243778314,-45.390557193358546
375,Rock Slide,3.46609,-72.9706473855717,-45.390208234697376
376,Rock Slide,4.75577,-72.97973435327235,-45.403018063080275
377,Rock Slide,2.08409,-72.95683958561425,-45.407252074640404
378,Rock Slide,4.64107,-72.95260725683086,-45.40384640640528
379,Rock Slide,2.59118,-72.95145993139909,-45.405968179865575
