ID,POLYGON_AREA [ha],CENTER_POLYGON_X,CENTER_POLYGON_Y
163,3.0691,-72.92989553340865,-45.334494816186385
164,0.5627,-72.92827018235347,-45.33591375648605
165,1.1608,-72.92877868938643,-45.33751050276474
166,0.7006,-72.92801186437963,-45.33882125666245
167,2.5782,-72.92735196906483,-45.341374485815855
168,0.9419,-72.92772540283431,-45.34209341548055
169,2.5892,-72.92815010239094,-45.34351150973589
170,1.3189,-72.92605127335182,-45.3451354181704
171,1.1511,-72.92584548381703,-45.346929757647324
172,1.4992,-72.9238960491421,-45.34606900352486
173,1.1016,-72.92203095449844,-45.34719882528095
174,0.7227,-72.95041287833882,-45.311504634343976
175,12.257,-72.94376974828555,-45.309788186866896
176,4.0045,-72.94619615626303,-45.30727938214701
177,7.2528,-72.94768395210195,-45.309095974664196
178,0.3574,-72.94065258484966,-45.30501037615503
179,1.2891,-72.93967816512526,-45.30555312081223
180,1.5558,-72.93864567291777,-45.305903884046145
181,0.2057,-72.94479218263682,-45.316979829124826
182,4.3785,-72.93972204575044,-45.31892635676254
183,2.4926,-72.94279568330606,-45.319922207388494
184,0.3568,-72.94210944989555,-45.310834374138445
185,0.3849,-72.94194875373516,-45.31802258042219
186,0.1165,-72.94095157791782,-45.31823852814663
187,0.8394,-72.93683578704047,-45.32692547252996
188,0.9297,-72.9286006498448,-45.32501617506414
189,0.8695,-72.92534819927197,-45.32695239468032
190,0.125,-72.92816701059073,-45.326329700340075
191,1.4357,-72.93312614891884,-45.284585435971096
192,1.2009,-72.86711401450485,-45.30706356038262
193,2.7166,-72.86455175104334,-45.30736783962423
194,0.718,-72.85712146981064,-45.311994581626884
195,0.5921,-72.85639665229458,-45.315751548096515
196,0.9677,-72.89920055996404,-45.29336351549655
197,2.398,-72.89766024994336,-45.29483117000669
198,0.3987,-72.90072126312576,-45.29027137225269
199,0.5438,-72.89999019717423,-45.290906858904265
200,0.5467,-72.90036167794499,-45.29140794452953
201,0.4581,-72.90173239890026,-45.28977641908372
202,0.4211,-72.90470607090847,-45.28666329432753
203,0.8968,-72.90543665041452,-45.285074755152
204,0.608,-72.89957315085896,-45.28355706524701
205,0.9055,-72.85967200099792,-45.33575286969513
206,0.7621,-72.85812200746606,-45.33734499712193
207,2.7656,-72.85071562933338,-45.33998750458027
208,1.9129,-72.97159466158531,-45.31270122110718
209,0.6766,-72.97149754980163,-45.31473018277099
210,0.503,-72.97811974985083,-45.31272079249237
211,0.2485,-72.98649948985464,-45.32448527470906
212,0.4862,-72.97307379275448,-45.32331417750223
213,0.5987,-72.97310781447486,-45.3246096306476
214,0.3455,-72.95547053382148,-45.328878796152225
215,0.5909,-72.93910787638788,-45.32407543539371
216,2.1395,-72.98033269222584,-45.352996778280804
217,3.8453,-72.9753161403794,-45.35274256721979
218,0.316,-72.9728742049364,-45.35431130255896
219,1.4606,-72.97369304307566,-45.356149802493
220,1.3094,-72.97272450913722,-45.35666600181331
221,0.6247,-72.97064237000404,-45.36054277423492
222,0.2351,-72.97034253812176,-45.36128525578058
223,0.2125,-72.970420449729,-45.35989489024704
224,0.7761,-72.97698619833879,-45.36656129111465
225,1.2775,-72.96777636059666,-45.35383656295626
226,1.6389,-72.96637975599697,-45.35552672059991
227,0.2813,-72.96551902627199,-45.35923379382141
228,0.3987,-72.96538611206705,-45.3563982957716
229,0.1631,-72.96527821571541,-45.35665313287402
230,0.3757,-72.9701933966045,-45.3496880177543
231,0.4883,-72.97082029438228,-45.387878627298264
232,1.2342,-72.97201668832197,-45.38911052594479
233,0.9731,-72.97057514466009,-45.38480855130494
234,2.0795,-73.00745322405685,-45.39384848728691
235,9.3369,-72.99275175056627,-45.3962009933485
236,11.3601,-72.9882259227413,-45.3978471793185
237,9.0972,-72.98348083056962,-45.397346204119515
238,21.6254,-72.98893017158218,-45.39294948207234
239,0.4667,-72.97782573702887,-45.38866182844983
240,0.4365,-72.92182669029744,-45.33018306983889
241,0.5424,-72.92105918718084,-45.3309566618657
242,2.9762,-72.91826116000995,-45.33412532535967
243,3.022,-72.91866797704944,-45.33571134476084
244,0.9206,-72.91790510936643,-45.33089094344338
245,0.7994,-72.91503999858955,-45.34068524720059
246,1.1669,-72.9147877172775,-45.33673649108113
247,1.2344,-72.90594763270718,-45.33790152716583
248,0.3301,-72.91381967455482,-45.347240828394185
249,0.2615,-72.94574878324624,-45.34222312904928
250,0.2124,-72.94838846551448,-45.34167845630603
251,0.6504,-72.9353961106916,-45.33978508494472
252,0.2212,-72.93937784072689,-45.340232220956985
253,0.201,-72.90577652792585,-45.34289354531923
254,1.0807,-72.90421626481219,-45.34418800594552
255,0.6499,-72.9560440691588,-45.34477362418476
256,33.5014,-72.94932366486182,-45.39997503201476
257,38.7678,-72.9442972893826,-45.397920148280626
258,4.1193,-72.95445453176903,-45.39406107332868
259,6.06,-72.95310514370276,-45.39642282928905
260,11.8912,-72.95275360337182,-45.39986311341579
261,6.5917,-72.95041567287407,-45.40314377596234
262,2.7527,-72.95027406375421,-45.40589121916463
263,3.1119,-72.9529325889026,-45.40748658731322
264,2.5484,-72.94645132703312,-45.404577511263376
265,0.6797,-72.93969758900703,-45.39470888788548
266,8.8282,-72.93702258843271,-45.40210046409285
267,4.6134,-72.94063100545314,-45.40537544811175
268,3.9287,-72.94219026854411,-45.405802473866004
269,3.9053,-72.93705061251066,-45.40260733059515
270,0.5627,-72.93772510633377,-45.39493664620661
271,1.7867,-72.92709156589632,-45.40562927959034
272,0.4732,-72.92368220430181,-45.402916626657095
273,0.7766,-72.92537086332032,-45.402854546091824
274,4.4681,-72.92265848537149,-45.399868308007
275,0.5288,-72.92442697864146,-45.399966424455066
276,0.5364,-72.92330460841731,-45.40136527377128
277,1.5513,-72.92027768265879,-45.40693619443448
278,1.33,-72.92038012237263,-45.416173493638844
279,0.5942,-72.92053984887903,-45.419360673410075
280,81.999,-72.91716942857612,-45.39908463764518
281,1.5051,-72.91653688671114,-45.38861239695137
282,0.8617,-72.91563399063536,-45.38986672829888
283,3.6751,-72.91571348661739,-45.39145876686912
284,7.2263,-72.91509828949287,-45.39383772298931
285,1.0536,-72.92417602092965,-45.394458617208336
286,1.6506,-72.92111528410899,-45.39438518571436
287,0.5807,-72.91795569906247,-45.397139160915735
288,0.1964,-72.91855038614632,-45.39732025118071
289,2.2392,-72.91846871303149,-45.3936681845035
290,9.4178,-72.90882015818953,-45.39678625872956
291,1.3947,-72.91634448801493,-45.39678704628956
292,2.9418,-72.91004737349138,-45.398877544122634
293,1.3552,-72.91381383400127,-45.422939796496635
294,0.7554,-72.89674366969305,-45.4171975613422
295,0.6512,-72.89244264388543,-45.41474810710832
296,0.2267,-72.8921214269367,-45.412600049917394
297,0.3515,-72.8957517199214,-45.4148003457707
298,0.5097,-72.89726343145107,-45.405093822423034
299,0.6084,-72.89007445271146,-45.41035435941179
300,0.5294,-72.89216917387901,-45.4110406915788
301,1.8229,-72.89311445826077,-45.4063331977316
302,7.6596,-72.88798016417515,-45.40802694393684
303,1.1317,-72.88571035760513,-45.406281798972124
304,2.9271,-72.88439692067436,-45.404356083494314
305,2.714,-72.75897590948472,-45.33251886521515
306,0.0765,-72.8956777551793,-45.41540339819279
